"Central",1,"Exhibition Centre",94,4.90,3.20,2.00,5.00,3.20,2.00,2.00,3.50,3.50
"Admiralty",2,"Exhibition Centre",94,4.90,3.20,2.00,5.00,3.20,2.00,2.00,3.50,3.50
"Tsim Sha Tsui",3,"Exhibition Centre",94,10.60,5.40,2.00,12.50,5.40,2.00,2.00,5.50,5.50
"Jordan",4,"Exhibition Centre",94,10.60,5.40,2.00,12.50,5.40,2.00,2.00,5.50,5.50
"Yau Ma Tei",5,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Mong Kok",6,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Shek Kip Mei",7,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Kowloon Tong",8,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Lok Fu",9,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Wong Tai Sin",10,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Diamond Hill",11,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Choi Hung",12,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Kowloon Bay",13,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Ngau Tau Kok",14,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Kwun Tong",15,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Prince Edward",16,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Sham Shui Po",17,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Cheung Sha Wan",18,"Exhibition Centre",94,13.20,6.50,2.00,15.50,6.50,2.00,2.00,6.50,6.50
"Lai Chi Kok",19,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Mei Foo",20,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Lai King",21,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
"Kwai Fong",22,"Exhibition Centre",94,15.80,7.40,2.00,16.00,7.40,2.00,2.00,7.50,7.50
